"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090"
"26","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",591,0,0,19,7,0,3,0,0,137,28,0,0,87,0,0,12,225,0,27,0,8,96,16,0,18,8,0,0,0,0,0,0,0,0,0,47,6,0,2,108,410,30,223,0,0,27,177
"27","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_e44576938f7308623896e3cc195e0d53",55,0,0,640,0,78,0,0,16,0,253,115,0,79,29,550,0,0,0,29,0,0,0,0,26,27,18,420,0,0,54,0,70,23,161,0,70,9,8,0,160,6,0,10,0,160,136,19
"28","Fungi_Ascomycota_Dothideomycetes_Pleosporales_unclassified_unclassified_unclassified_c5e068be2668e67b64c83f3503976c92",20,41,23,32,90,38,4,156,96,54,33,57,35,58,22,55,8,28,41,72,33,38,21,23,108,47,59,31,35,145,104,1,58,12,56,91,55,76,68,37,33,56,64,48,79,84,117,44
"29","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_2ded4ab4778f5c3fdbb213b17ac22349",31,0,38,118,119,120,0,119,186,50,65,0,37,47,56,57,46,97,78,67,63,167,11,121,52,41,116,57,56,43,259,28,43,52,74,82,60,55,63,28,72,70,109,55,43,181,42,56
"30","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_b1709734b7dcde8d041339c8d3507f1e",0,0,309,0,0,912,0,0,132,121,1991,4,105,0,6,0,0,0,30,10,11,532,0,0,3,468,84,0,0,0,26,0,0,34,4,93,918,548,0,0,433,16,25,115,0,0,4,831
"31","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_51121d174235724d93d9ad2496a65689",41,53,32,49,9,152,14,48,63,63,54,39,46,100,49,32,253,83,25,67,0,16,19,62,61,54,46,22,49,84,75,22,4,909,56,25,124,14,66,35,38,282,40,77,18,157,33,57
"32","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_b91d6310355ef9aadd0485f95502e441",20,0,11,5,155,11,0,0,17,35,118,5,74,74,6,101,72,57,65,32,0,4,22,12,7,26,27,139,12,48,97,55,23,89,69,37,25,85,34,24,43,45,148,22,71,6,0,50
"33","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_35c351e1f2a05ba247a822b85fb2f2fd",0,0,0,339,10,135,0,9,338,0,222,70,0,26,0,303,0,85,0,0,0,0,0,0,38,7,40,425,16,0,38,0,0,0,0,0,24,0,0,0,69,0,0,0,55,109,0,7
"34","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_b836e22d01ed6a62b260f01262127a38",31,73,43,37,114,7,128,95,78,26,35,101,39,42,49,39,134,39,51,75,86,0,89,58,53,16,81,18,180,332,96,6,71,17,92,66,71,66,68,93,28,27,40,0,56,109,131,43
"35","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_677f39cb0b5f073bab4e5b5ceb33d96f",34,38,30,7,0,37,0,0,0,14,92,422,9,33,63,6,19,68,88,25,232,23,0,0,165,14,262,0,0,48,44,13,0,0,0,17,0,22,11,369,113,27,8,79,81,8,0,0
"36","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Sporormia_Sporormia_sp_d6f397d83d1695a6493662475a7808af",0,0,0,36,7,15,0,0,102,0,137,0,7,0,0,30,0,14,37,0,0,0,0,6,26,55,0,6,0,33,0,38,0,0,0,0,159,22,0,0,12,79,54,15,0,0,0,0
"37","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_6d4c8253e4fc945fe2bdca5b551c32e7",33,34,27,45,133,83,53,71,153,27,39,146,32,49,57,113,70,44,40,8,35,17,39,22,31,54,76,24,51,14,68,9,30,23,0,146,35,82,64,32,45,51,50,0,1,25,27,23
"38","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_0712f4c204fb2be1538e6783b0a5ff89",78,1,41,78,42,9,603,69,5,30,44,34,41,13,40,50,38,51,78,113,194,45,27,100,33,30,74,13,10,97,97,12,58,28,98,51,29,65,114,76,31,17,51,9,78,115,45,40
"39","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_a6a6a20bc1b2713ee2bae77a856e8fc5",0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,54,0,297,499,0,0,0,248,0,0,0,139,0,93,129,0,179,46,0,0,311,0,115,0,94
"40","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_bce8d64824451b4cb44896126c34ee03",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,2734,0,0,0,0,0,0,0,0,2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_69b141cd10b5f2821df20410a28eeb20",37,74,19,31,466,58,142,37,15,20,6,20,178,0,42,47,57,30,131,18,493,109,80,7,31,185,63,64,0,170,171,236,56,28,15,278,0,53,88,49,0,8,88,0,135,53,18,19
"42","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_f74763de17c09920e4ec24527d682557",97,81,22,36,59,36,0,114,59,26,67,21,24,56,45,26,17,38,41,50,158,15,3,25,56,26,31,24,120,19,101,5,16,10,54,32,25,108,55,48,11,9,116,40,29,99,13,8
"43","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_7f84f2f14c7148135a8971e97ab29414",77,51,164,58,45,109,54,49,0,0,25,23,0,30,86,45,0,60,0,0,63,0,0,56,38,26,0,27,0,102,70,0,0,135,51,19,50,40,28,46,37,0,0,0,26,0,0,57
"44","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72196ab3fae4e881542aca53b57891ba",0,0,773,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_unclassified_291daa9a07a675ca47bbcd36a568689b",0,9,70,19,26,140,6,0,102,15,30,58,0,78,20,93,142,17,97,42,38,413,0,0,36,46,41,59,5,152,59,24,26,47,74,9,55,45,61,33,36,0,64,0,53,89,43,0
"46","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_a7b313d891107fbee374ecc6ded2a6db",44,22,0,6,16,28,0,12,25,0,100,94,66,25,139,24,0,41,191,22,12,0,0,10,0,12,66,4,0,0,0,0,32,25,0,0,22,30,35,24,70,0,12,31,0,34,0,69
"47","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_fujikuroi_9823d03cf21ee6bea8cd5345c3abda63",39,0,0,0,53,75,0,18,0,0,87,0,112,28,0,32,0,21,0,51,0,0,115,0,22,22,31,0,0,0,0,0,0,0,0,0,65,0,0,0,79,71,55,98,0,0,0,675
"48","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_dc7382b8baeb332732be90d53df52c6e",38,1,9,0,10,5,39,0,748,13,6,7,4,13,9,0,7,0,12,319,0,25,2,13,35,5,13,1483,9,0,29,12,8,18,0,24,18,7,0,10,10,51,41,0,4,84,0,0
"49","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_a9f2968ee14309e36e2d708d0aa22fcb",0,0,27,6,0,0,391,0,61,0,0,258,0,23,0,0,29,0,0,0,0,147,274,0,2,0,3,2,865,0,0,0,0,11,13,208,0,0,0,127,31,0,0,0,104,0,53,0
"50","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Scedosporium_Scedosporium_boydii_4c1409f3ec03f348b9565da49f9b01cb",15,0,19,24,0,0,0,0,47,0,0,25,0,0,16,0,47,0,0,38,10,0,10,0,0,23,12,1020,0,13,0,14,0,0,0,0,0,5,4,0,0,22,0,0,329,25,0,0
"51","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_sp_4fe643f045608e94db26815d9b65422e",0,51,0,65,0,0,54,79,126,0,55,0,94,52,80,212,93,0,0,70,0,35,0,40,0,0,0,0,0,104,0,0,0,22,101,0,0,85,36,72,60,0,0,79,0,47,0,47
