"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"24","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",0,0,0,0,24,0,739,218,0,53,104,0,0,0,0,106,107,0,0,0,0,58,139,0,0,230,48,0,79,152,0,118,0,238,121,0,276,0,59,104,0,0,0,0,78,0,0,0,0,0,290,0,35,142,30,212,0,0
"25","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",45,51,72,27,275,614,216,7,18,0,0,160,75,83,0,1,51,25,33,69,43,148,133,95,9,64,16,21,10,27,120,289,23,198,215,49,33,19,96,0,151,58,96,15,19,29,37,27,12,0,74,124,12,5,20,71,30,110
"26","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",12,0,18,81,17,0,0,0,0,14,0,41,0,138,0,231,16,8,99,0,223,0,11,3,0,24,0,15,0,21,31,4,0,8,75,264,0,0,130,25,11,148,132,0,15,71,29,0,2,67,10,3,4,116,0,154,22,429
"27","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_e44576938f7308623896e3cc195e0d53",443,54,0,0,181,42,0,203,30,170,169,62,357,0,0,67,22,0,0,0,33,17,22,19,337,115,3,69,90,0,55,5,5,0,112,4,88,38,21,15,0,9,8,130,0,12,60,132,3,0,0,21,10,135,15,106,0,101
"28","Fungi_Ascomycota_Dothideomycetes_Pleosporales_unclassified_unclassified_unclassified_c5e068be2668e67b64c83f3503976c92",22,31,127,30,18,45,19,48,55,31,40,37,24,23,22,47,32,20,54,79,14,82,39,47,20,81,28,78,26,23,31,54,40,31,26,33,8,22,29,17,56,27,32,68,37,56,53,54,24,83,60,65,15,23,58,12,83,49
"29","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_2ded4ab4778f5c3fdbb213b17ac22349",65,89,44,32,42,0,21,0,27,57,65,37,49,69,97,17,49,83,42,21,57,44,35,68,33,103,85,19,30,144,36,32,64,17,37,41,39,62,34,53,75,31,41,28,27,128,65,117,68,48,155,133,149,46,24,18,0,27
"30","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_b1709734b7dcde8d041339c8d3507f1e",0,623,0,60,1325,3,81,0,6,34,0,0,0,0,0,0,3,0,2,0,5,3,320,46,0,0,0,0,0,0,659,325,0,0,265,10,0,0,32,0,22,71,560,0,4,21,8,1,0,0,0,9,0,0,0,0,0,18
"31","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_51121d174235724d93d9ad2496a65689",34,104,75,47,29,16,30,137,29,11,22,70,24,57,45,224,42,37,35,61,187,35,39,32,24,77,72,34,20,15,84,14,38,19,24,225,13,23,61,18,28,66,42,43,16,84,38,27,67,23,23,38,9,13,25,451,20,47
"32","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_b91d6310355ef9aadd0485f95502e441",4,15,26,22,97,7,55,10,6,81,127,66,59,31,115,23,22,12,44,135,14,3,18,13,99,29,99,24,309,52,12,57,24,14,26,38,19,2,10,181,82,14,46,143,58,21,15,16,35,9,3,50,80,116,58,48,29,28
"33","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_35c351e1f2a05ba247a822b85fb2f2fd",199,83,0,0,156,43,0,37,30,265,14,21,230,61,24,26,0,0,0,6,81,45,2,28,260,183,26,35,147,72,14,0,0,0,39,0,79,0,0,17,0,0,4,0,4,53,0,139,0,0,10,11,12,78,10,106,10,35
"34","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_b836e22d01ed6a62b260f01262127a38",19,18,29,19,30,66,34,54,78,18,19,23,31,25,26,40,64,29,39,142,10,23,16,58,12,39,40,147,36,29,37,54,55,66,13,14,36,32,9,12,34,0,24,37,32,25,55,30,11,211,55,29,44,20,30,29,26,68
"35","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_677f39cb0b5f073bab4e5b5ceb33d96f",5,31,0,11,68,286,10,19,223,0,149,19,4,45,125,0,15,0,0,0,0,108,7,195,0,0,8,56,0,10,0,13,6,252,74,21,0,8,32,0,7,62,0,0,55,7,0,65,0,0,0,38,5,0,3,13,2766,0
