"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"39","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_a6a6a20bc1b2713ee2bae77a856e8fc5",0,0,0,0,0,0,0,0,0,0,79,0,418,706,0,151,200,0,276,49,0,0,510,123
"40","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_69b141cd10b5f2821df20410a28eeb20",58,74,25,3,36,272,0,54,40,17,16,52,276,79,86,0,74,138,63,0,15,157,0,32
"41","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_f74763de17c09920e4ec24527d682557",43,68,51,83,25,34,82,52,75,82,46,76,33,54,32,37,184,96,91,22,27,163,77,34
"42","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_7f84f2f14c7148135a8971e97ab29414",78,168,0,21,37,0,41,99,93,0,72,52,44,0,32,85,69,49,62,78,0,0,0,95
"43","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72196ab3fae4e881542aca53b57891ba",0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_unclassified_291daa9a07a675ca47bbcd36a568689b",31,236,20,57,90,0,114,157,24,52,0,46,69,56,104,69,51,77,44,56,0,86,0,0
"45","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_a7b313d891107fbee374ecc6ded2a6db",15,48,0,148,159,108,45,21,53,23,24,0,22,85,10,25,39,63,37,76,0,20,41,101
"46","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_fujikuroi_9823d03cf21ee6bea8cd5345c3abda63",0,132,0,139,0,160,38,52,39,97,0,30,35,33,0,132,0,0,0,140,125,72,138,999
"47","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_dc7382b8baeb332732be90d53df52c6e",0,14,28,6,25,5,18,0,0,513,23,55,9,19,2215,23,4,0,27,28,77,58,0,0
"48","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_a9f2968ee14309e36e2d708d0aa22fcb",4,0,0,0,411,0,37,0,0,0,0,4,0,6,5,0,0,0,200,33,0,0,0,0
"49","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Scedosporium_Scedosporium_boydii_4c1409f3ec03f348b9565da49f9b01cb",46,0,0,0,47,0,0,0,0,71,0,0,31,27,1584,0,6,9,0,0,51,0,0,0
"50","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_sp_4fe643f045608e94db26815d9b65422e",73,0,0,68,0,149,70,345,0,78,79,0,0,0,0,0,109,44,89,71,0,0,141,61
"51","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_7e870910d95b7f139562f3358ce36d18",0,297,528,0,0,0,0,0,171,324,108,0,0,0,0,38,0,0,0,169,98,125,1511,71
