"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"42","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_foraminis_e86a52b004b2207a19bd35a2a38eca53",95,118,64,87,89,89,103,112,69,167,100,124,86,68,66,43,105,74,99,112,55,94,126,63
"43","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_45b16c33d796c3a44f87ee697aa3b7bc",112,73,84,92,79,118,113,59,66,109,63,135,83,122,73,133,145,98,112,104,102,145,111,86
"44","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_badius_aa4fb4dd293807c66aa6b76de0ac805d",88,91,80,107,90,71,85,126,89,161,122,134,66,108,114,42,136,107,96,91,42,153,96,78
"45","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_unclassified_unclassified_80d77ec7342e13ba1261e58a23128ef7",214,198,88,303,132,214,58,0,0,88,133,131,0,184,0,90,160,0,0,155,183,138,235,139
"46","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_unclassified_unclassified_92e162db2b39cff44b60a6d7ee7c0ffb",86,103,95,113,0,97,49,140,106,103,132,158,67,56,0,45,58,95,96,81,73,73,68,159
"47","Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus_unclassified_7452a179b9a24c364642eeaade4d266f",92,223,82,79,114,85,93,110,66,173,77,160,151,118,52,89,106,130,73,125,141,60,111,73
"48","Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_94507b25ef5fcb04abf95487b0cc9f95",66,70,63,82,74,84,145,71,91,67,111,120,53,55,57,72,49,67,104,88,88,115,81,63
"49","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces_mirabilis_e81a04a50f341415b6b8dbb1f94c559c",124,64,104,85,111,104,92,75,81,68,43,73,87,56,51,61,56,110,126,59,108,160,61,78
"50","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium_unclassified_5c78314ff92e6fec9aa07acc1fa0dc24",48,99,62,64,50,39,131,40,60,146,50,64,64,50,49,49,71,69,0,67,108,72,119,67
"51","Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_unclassified_unclassified_5224eebaf141efa02a382cd2c2b6e961",86,64,95,107,81,74,105,138,84,221,92,123,97,77,109,139,114,121,120,87,108,89,75,78
"52","Bacteria_Gemmatimonadetes_Gemm-1_unclassified_unclassified_unclassified_unclassified_f2e9c4d09183997ce7cdab5a93686b4c",95,84,71,101,107,103,80,84,77,70,149,123,45,92,77,95,69,84,105,104,102,0,105,85
"53","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae_unclassified_unclassified_f8d361804ee551d0a443204beee8ece3",101,92,75,75,119,75,66,76,81,147,86,99,98,49,57,93,67,62,57,73,78,164,80,100
"54","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_5bf789b820182b543e55cefbf0c1c039",75,159,95,58,58,58,48,74,74,102,62,84,81,84,88,58,126,71,56,71,59,70,84,66
"55","Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_unclassified_unclassified_97fba611c33148ca4f36e745cd306e43",82,59,71,82,79,79,76,74,86,67,76,100,75,43,48,74,81,85,82,74,87,0,74,84
"56","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_0be372f1e48dc22c1b15de5fefefc2e8",82,126,60,77,98,67,63,46,61,160,64,108,128,96,81,16,122,59,42,80,73,151,52,46
"57","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_unclassified_unclassified_c91a902d0278a781bd79527b5e1f5abe",115,88,89,76,90,79,59,78,108,74,92,158,76,96,47,95,82,85,80,111,110,110,102,87
