"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"65","Fungi_Basidiomycota_Agaricomycetes_Cantharellales_Ceratobasidiaceae_Thanatephorus_unclassified_168b7087ff5587e329140638f41ea137",11,14,0,2,1,20,43,0,4,11,30,19,31,21,4,12,0,4,5,2,0,6,14,43,91,1,8,2,3,16,5,19,63,31,25,0,7,12,0,0,16,2,4,0,2,0,0,27,16,0,6,0,0,0,0,0,233,0
"66","Fungi_Ascomycota_Sordariomycetes_Xylariales_Xylariaceae_Ascotricha_Ascotricha_guamensis_f598dd2c35a26b38462ace9fa0ae80e4",23,16,32,6,3,6,2,4,4,6,15,3,8,6,3,7,0,15,8,2,7,3,4,8,5,7,43,11,10,22,1,6,4,17,2,0,5,7,18,19,43,8,12,9,2,1,0,4,3,62,12,4,8,2,5,3,10,17
"67","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_99efce9656ff9756cdc469b589eed53b",0,0,0,0,0,0,40,0,0,9,0,17,0,0,0,0,0,0,17,0,42,11,8,0,23,0,9,73,0,5,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,24,0,0,0,0,7,0,0,0,0,19,0
"68","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_da3ba9132949ff5755979100a5abe50b",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,2,0,0,0,0,0,253,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Sarocladium_Sarocladium_sp_571924899d89894769af5be8b189d164",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_sclerotigenum_7dc7bd97d9ee8c14bebb3acce7cd6c2f",4,4,11,33,7,4,2,1,7,10,8,11,12,11,5,18,12,0,3,2,106,5,3,9,0,3,9,7,9,0,10,10,3,6,29,186,0,1,95,2,1,239,37,2,9,14,10,7,5,51,6,6,0,4,2,120,10,34
"71","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_unclassified_unclassified_b00ac03587600b6303a38b88ba8c8ef2",32,1,0,0,0,0,0,84,0,0,0,0,193,0,8,0,13,0,0,0,0,0,46,69,0,0,12,0,0,0,0,0,2,32,0,0,21,0,0,0,0,11,0,0,0,0,33,0,0,0,25,9,0,56,0,87,18,76
"72","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_unclassified_unclassified_0056736d8b93aa02956e410e559e03a6",16,14,41,3,23,18,25,16,27,8,24,18,6,17,20,6,13,10,6,24,0,21,11,35,6,21,20,24,6,1,12,26,23,17,11,0,28,4,2,8,33,6,10,7,16,3,11,30,6,3,3,15,14,18,9,16,23,27
"73","Fungi_Ascomycota_Sordariomycetes_Sordariales_Neoschizotheciaceae_Neoschizothecium_Neoschizothecium_curvisporum_a27b2f3136cbcfa2fcba5c9bc97f19d1",54,11,0,6,33,6,10,25,71,14,11,31,23,9,45,5,32,8,25,10,0,30,16,16,6,25,15,17,6,26,16,0,41,24,13,0,31,8,6,6,23,0,10,50,10,7,27,9,6,23,0,32,3,23,11,12,0,0
"74","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_5b4b69dc0b4d821528a28461b0d8e28c",0,0,0,45,0,0,23,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,48,0,0,0,0,0
"75","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_unclassified_226ded8c73006c34d56970a66bd86cb1",0,6,0,7,7,0,0,0,0,2,0,22,0,51,0,56,3,2,15,1,55,0,0,1,0,4,0,0,0,0,7,0,0,0,40,206,0,0,61,0,13,11,17,0,0,7,13,0,0,9,11,2,0,0,0,143,0,251
"76","Fungi_Ascomycota_Eurotiomycetes_Onygenales_Arachnomycetaceae_Arachnomyces_Arachnomyces_pilosus_774f24b86f439b1017e45381b2907628",10,7,0,4,0,0,0,0,11,14,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,17,0,15,2,0,0,0,6,0,0,7,0,0,37,0,0,16,0,0,0,0,6,24,0,0,0,0,24,8,0,0
"77","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_7b73f573f34a5cb423d321b896c75968",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,13,0,0,0
"78","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Canariomyces_Canariomyces_arenarius_3beb817f7862a04358f2cddb1fe0f92a",0,9,0,5,0,14,0,0,19,0,4,13,2,9,5,0,0,3,9,0,9,8,12,0,0,16,0,15,0,10,87,5,0,20,0,0,0,0,0,0,22,0,2,0,15,9,11,4,9,34,0,11,0,6,13,0,8,10
"79","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Amesia_Amesia_atrobrunnea_86ab26fc9559b6afb4523a326e3758a8",15,3,16,12,9,9,3,16,47,9,10,3,6,6,7,12,10,5,7,20,0,8,7,12,6,6,9,14,4,14,28,10,15,11,0,7,7,7,1,5,0,0,0,11,32,10,98,9,0,0,17,3,4,4,1,15,10,10
"80","Fungi_Ascomycota_Leotiomycetes_Helotiales_Myxotrichaceae_Myxotrichum_Myxotrichum_deflexum_b11ed5999ca8e42774fa1f979589d79b",13,7,8,6,9,3,1,9,6,0,6,4,0,0,5,17,19,1,14,17,0,15,4,3,3,12,6,17,6,0,7,6,7,7,4,0,7,2,0,6,4,0,4,4,10,4,9,8,2,0,14,11,0,2,5,1,0,9
"81","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_8dbabaa13ab019c8f8dd1173a7a7c6b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Paracremonium_Paracremonium_inflatum_0d08341a4ed049ed9afefb928b1fcb96",3,3,0,0,9,0,5,7,0,12,5,0,0,0,0,13,7,0,0,0,0,18,0,10,3,0,8,5,0,3,4,0,0,29,13,16,6,0,0,6,17,0,17,0,0,11,0,15,7,0,19,15,1,3,0,4,0,16
"83","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_arcana_f7097410bdc5b2494a59cf53befb39fc",0,0,0,0,0,0,14,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,38,30,74,0,40,0,11,0,48,0,10,0,8,16,0,0,0,0,120,0,0,0,0,0,2,0,0,18,0,0
"84","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_Alternaria_sp_0d28e1bb97e7e89fd3c7d1f88af77000",8,0,23,0,0,0,0,18,0,15,11,0,4,11,7,0,14,0,15,0,0,18,8,0,0,11,16,10,27,0,20,0,19,0,0,0,14,0,13,10,0,0,0,13,0,0,0,17,11,18,0,0,21,27,10,18,0,0
"85","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Zygopleurage_Zygopleurage_sp_eccdc8504c3be0a0317f855aa4da23a2",165,7,25,0,0,3,0,17,0,0,3,0,146,27,0,0,0,0,0,0,4,0,7,0,0,4,0,0,3,0,14,0,0,0,10,0,3,0,3,9,0,6,2,0,6,1,0,4,0,0,0,0,0,3,0,0,0,0
"86","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_503a3f4de445493535f9fd4491b7ac2e",7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"87","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_32e22e511bf5728277a1f9fd95bc1a70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_ced2c34c85c5e48afbb81480c37b38d4",0,4,0,0,4,1,0,0,0,0,0,8,0,3,0,0,0,5,0,0,36,0,0,0,0,1,0,2,0,0,1,0,0,0,0,100,0,0,98,0,8,5,11,8,0,12,8,0,0,15,7,0,0,6,0,24,0,136
"89","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_unclassified_3337b252837c394adcd73ead4c097a6e",0,0,0,2,0,0,2,0,0,0,0,17,0,7,0,9,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,19,74,0,0,29,0,0,0,31,0,0,12,0,0,0,0,7,0,0,0,0,102,5,89
"90","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Pithoascus_Pithoascus_sp_d2ad2d924043eade180170560ff78cdd",0,0,16,3,0,16,0,0,5,2,0,0,6,0,2,3,0,0,5,2,3,6,0,6,0,2,1,6,1,0,4,4,3,4,0,1,0,0,2,0,0,2,0,4,8,1,2,1,0,4,0,0,0,0,8,3,0,0
