FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
afeeee25ce0fa95d0ac2d7c5378fa206,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
3b2c54e0d7b8c41237115d6c8fba6f1e,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
51bf542b3772460d66e220180fa922b5,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
cb6cbedbb61b752349444a712de56844,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
13ccefbf61ddf8bd7f8379e35947dc22,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
c06a985724c2f7a08a82bc4d8acbf257,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
97a10bb49e5c5547a0dbd8d27690b59b,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
45a7267c3a8bed0c948e880cc4f41c3c,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
0b9c096c0da4d1bf9e6759fe3f93ca2a,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
161cdb480976b8abb80a9ed4b1651c67,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
0fe00a32e07a299bc048d2c611d1c2e4,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
88e14d5a65d6317cc0b0f5abcb00c0da,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
853dea2921aae7f622d8a0b796f80832,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
8bc8f3965bde0218247b2b64789c3c21,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
